gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000022235.14	1250	615	1259	748	1213	1168	1216	734	964	184	211	297	234	171	205	
ENSMUSG00000022236.9	4	1	4	6	2	5	5	8	8	5	9	7	0	4	7	
ENSMUSG00000022237.16	19	5	10	61	3	0	9	10	14	5	15	18	14	18	23	
ENSMUSG00000022240.9	20	25	68	26	32	1	20	11	15	4	3	5	12	18	4	
ENSMUSG00000022241.5	1661	928	1762	2029	1920	1346	2336	1124	2106	1549	2598	1519	1742	1580	1673	
ENSMUSG00000022243.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022244.6	253	103	268	189	220	199	283	141	274	173	194	156	135	116	170	
ENSMUSG00000022245.15	2	0	2	0	0	0	0	0	1	1	1	0	1	0	1	
ENSMUSG00000022246.13	495	255	515	346	462	308	509	254	511	430	454	413	458	385	492	
ENSMUSG00000022247.12	810	430	958	865	691	507	1182	524	1086	893	1542	750	894	718	1022	
ENSMUSG00000022248.14	213	84	213	198	123	127	208	136	259	210	260	179	178	143	201	
ENSMUSG00000022249.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022253.14	528	223	681	423	336	270	535	243	412	338	417	323	280	204	300	
ENSMUSG00000022255.15	1723	1136	1966	1644	1929	1030	1966	994	1911	1723	2141	1687	1639	1364	1677	
ENSMUSG00000022257.3	2152	1078	2639	989	1400	1081	1680	990	1645	1623	1955	1322	1751	1182	1780	
ENSMUSG00000022261.5	1350	818	2121	452	765	551	829	309	584	225	281	509	308	245	224	
ENSMUSG00000022262.7	5	4	15	9	28	3	15	25	15	2	4	4	5	3	2	
ENSMUSG00000022263.9	728	400	917	576	962	464	580	494	556	1125	1310	748	929	791	951	
ENSMUSG00000022265.6	1214	513	1339	373	539	1209	729	312	519	389	347	540	500	662	378	
ENSMUSG00000022269.13	1	0	2	2	2	0	0	1	0	0	1	0	0	0	0	
ENSMUSG00000022270.15	5099	2599	3647	755	2319	725	3815	1766	2551	887	1467	1640	1164	801	1151	
ENSMUSG00000022272.17	1876	869	1895	956	1494	594	1678	842	1174	1300	1732	1268	1408	1390	1410	
ENSMUSG00000022280.8	1010	567	1003	449	745	308	796	400	711	899	784	858	780	763	721	
ENSMUSG00000022283.14	17713	7793	18794	17290	12980	7847	19975	9451	18446	25062	43258	21275	25760	24447	30896	
ENSMUSG00000022285.16	10748	5570	10055	13617	14748	7485	12932	7046	11760	13018	17465	10695	12052	11548	15627	
ENSMUSG00000022286.15	966	417	839	343	504	417	1077	428	775	1100	1183	834	913	955	966	
ENSMUSG00000022288.1	0	0	0	0	0	1	0	3	0	0	0	2	0	0	2	
ENSMUSG00000022292.15	200	110	235	97	144	51	107	50	148	181	172	179	153	105	162	
ENSMUSG00000022295.7	1133	628	1194	990	1106	516	1271	688	1238	910	1215	772	912	669	1023	
ENSMUSG00000022296.8	0	2	0	0	5	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000022297.14	410	130	325	120	284	78	316	126	188	673	496	384	437	916	404	
ENSMUSG00000022299.8	153	78	166	115	150	90	203	93	171	167	191	154	160	128	162	
ENSMUSG00000022300.9	1206	633	1111	1233	1261	728	1692	758	1441	1121	1333	854	964	749	1021	
ENSMUSG00000022303.8	0	0	1	1	1	2	0	1	0	18	79	6	11	4	15	
ENSMUSG00000022304.12	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	
ENSMUSG00000022305.12	273	127	220	109	187	376	140	105	116	274	280	196	248	241	265	
ENSMUSG00000022306.8	35	49	84	13	25	4	5	4	9	16	3	14	10	4	4	
ENSMUSG00000022307.15	927	495	995	484	849	301	819	361	640	705	809	744	738	602	684	
ENSMUSG00000022309.8	75	68	82	25	18	7	14	9	12	3	19	25	13	6	10	
ENSMUSG00000022311.15	3	2	1	1	6	1	0	2	0	1	5	0	0	0	1	
ENSMUSG00000022312.10	9911	5708	11536	5267	5322	4107	10093	5311	9123	4919	6163	5136	4947	4744	4906	
ENSMUSG00000022313.10	218	82	177	273	177	133	213	171	323	175	324	149	204	151	263	
ENSMUSG00000022314.9	3564	1768	3469	3505	2678	2226	3864	1864	3632	3364	4634	2645	3136	2595	3325	
ENSMUSG00000022315.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022321.15	7	1	12	2	3	1	4	0	1	0	0	0	0	1	1	
ENSMUSG00000022322.8	172	53	125	351	63	120	161	84	286	253	339	175	296	211	240	
ENSMUSG00000022323.11	422	199	469	242	341	194	472	250	465	158	294	175	172	119	239	
ENSMUSG00000022324.14	1336	792	1823	416	404	146	280	115	245	251	118	452	232	218	71	
ENSMUSG00000022325.14	120	59	141	154	117	89	188	65	137	223	325	127	236	209	173	
ENSMUSG00000022329.14	339	243	548	311	441	307	355	235	387	506	568	493	471	315	580	
ENSMUSG00000022330.4	170	71	251	4	5	2178	5	7	9	63	4	29	29	118	16	
ENSMUSG00000022332.7	941	515	1195	486	742	337	749	263	449	531	558	411	519	341	595	
ENSMUSG00000022335.16	66	12	99	47	68	45	67	50	88	130	190	73	138	118	235	
ENSMUSG00000022336.2	5974	3570	6802	3276	2551	2247	5756	2826	5161	2921	3938	3409	2961	2573	3341	
ENSMUSG00000022337.6	1687	850	1626	1007	1311	767	1553	921	1759	625	824	772	701	448	579	
ENSMUSG00000022338.6	1324	671	1419	1338	925	1020	1453	928	1606	873	1294	859	845	583	905	
ENSMUSG00000022339.8	578	299	575	419	518	323	635	295	581	417	426	413	391	312	320	
ENSMUSG00000022340.14	108	80	206	64	71	69	117	81	91	14	35	56	38	33	9	
ENSMUSG00000022342.5	11	10	20	6	14	0	2	5	7	11	0	3	8	17	2	
ENSMUSG00000022346.15	697	265	992	540	512	399	898	405	852	1354	1917	929	1891	1750	1705	
ENSMUSG00000022347.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022350.6	891	376	845	660	854	436	908	468	847	801	1099	803	853	631	865	
ENSMUSG00000022351.14	2449	1274	1779	2150	5559	1478	3925	2201	3404	2998	3947	2232	2200	2511	2175	
ENSMUSG00000022353.9	893	496	1037	643	971	592	1039	629	919	581	702	493	473	432	643	
ENSMUSG00000022354.3	7131	4224	8920	5952	7348	5196	8766	5720	9134	2347	3372	2680	2585	2139	2429	
ENSMUSG00000022357.2	13	6	14	0	3	0	4	0	1	1	0	2	1	4	1	
ENSMUSG00000022358.6	5008	2437	5476	916	1989	707	4306	1638	2348	883	1203	1788	924	989	961	
ENSMUSG00000022359.9	363	193	439	404	395	247	584	326	543	320	543	308	325	249	377	
ENSMUSG00000022360.7	189	103	213	457	201	163	242	152	360	527	691	248	459	442	488	
ENSMUSG00000022361.14	767	417	886	384	508	299	625	252	457	307	297	412	312	329	319	
ENSMUSG00000022362.13	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000022364.14	76	53	108	94	55	39	101	35	74	193	192	131	157	94	162	
ENSMUSG00000022365.5	2971	1470	2901	2731	3174	1551	3556	1702	2904	2416	3179	2120	2601	2057	2859	
ENSMUSG00000022366.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022367.7	17	3	21	15	18	4	21	4	11	67	28	65	47	268	44	
ENSMUSG00000022369.13	78	52	147	146	54	52	90	58	133	234	341	166	242	183	200	
ENSMUSG00000022370.13	1037	642	1358	1172	712	756	1515	748	1477	932	1480	699	965	767	1055	
ENSMUSG00000022371.15	696	358	1025	149	73	28	122	42	113	84	108	147	161	96	121	
ENSMUSG00000022372.14	76	41	91	277	124	19	158	94	221	153	160	125	133	51	103	
ENSMUSG00000022375.6	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	
ENSMUSG00000022376.7	21	11	8	14	6	6	24	16	91	942	1463	384	832	585	1242	
ENSMUSG00000022377.16	829	420	939	493	762	358	690	255	466	520	465	576	451	443	394	
ENSMUSG00000022378.13	893	521	921	1348	788	566	1200	640	1508	1365	1690	1114	1193	952	1230	
ENSMUSG00000022382.14	81	3	1	0	5	2	34	5	6	224	50	155	142	748	102	
ENSMUSG00000022383.13	28	34	52	11	41	121	43	8	25	16	11	25	12	4	6	
ENSMUSG00000022385.10	101	41	115	544	61	127	159	82	172	306	498	120	325	332	372	
ENSMUSG00000022386.12	364	151	388	229	228	112	300	201	300	249	271	200	230	145	218	
ENSMUSG00000022387.16	1904	794	1853	1042	1700	854	1754	875	1323	1762	2286	1501	1720	1319	1617	
ENSMUSG00000022388.14	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000022389.14	3960	2559	3445	931	2019	1230	2515	1860	2514	1450	1798	1944	668	916	1087	
ENSMUSG00000022390.10	1191	727	1971	821	934	528	1020	379	943	2121	2567	1586	1799	1473	1934	
ENSMUSG00000022391.15	2067	1089	2395	4582	2504	2120	3010	1401	3110	3695	5486	2799	3758	2914	3986	
ENSMUSG00000022394.14	282	117	333	492	251	226	369	201	336	365	576	306	476	308	324	
ENSMUSG00000022400.8	1839	946	2238	2133	1655	1306	2302	1346	2626	1534	2288	1241	1594	1425	1714	
ENSMUSG00000022401.11	126	72	90	74	151	54	114	43	83	107	148	95	114	93	100	
ENSMUSG00000022403.14	2766	1457	2895	2153	2616	1522	3105	1626	2751	2186	3429	2314	2457	1891	2759	
ENSMUSG00000022404.7	1567	720	1641	1077	1440	851	1822	823	1527	1285	1373	1161	1280	1246	1212	
ENSMUSG00000022407.9	969	468	1050	876	725	418	1007	444	970	744	1031	576	794	780	821	
ENSMUSG00000022408.6	398	157	396	513	929	580	800	377	480	294	255	308	331	425	202	
ENSMUSG00000022412.12	730	326	951	739	725	505	775	453	712	698	912	456	686	612	681	
ENSMUSG00000022414.7	721	340	878	517	503	417	730	369	644	726	770	516	579	480	694	
ENSMUSG00000022415.12	235	167	460	257	204	95	111	47	148	323	378	271	334	193	365	
ENSMUSG00000022416.15	2	0	2	47	0	1	18	4	80	17	4	11	7	12	5	
ENSMUSG00000022419.15	2693	1422	3242	1535	1583	1073	2004	1095	1902	813	1154	1197	1003	606	1010	
ENSMUSG00000022420.15	638	353	812	543	482	301	655	353	693	589	672	457	513	437	583	
ENSMUSG00000022421.18	121	93	276	191	129	60	66	40	66	70	62	58	80	83	66	
ENSMUSG00000022422.13	22	21	43	58	21	31	66	35	95	133	119	40	89	51	62	
ENSMUSG00000022425.15	1155	899	1941	556	534	51	627	171	738	205	125	465	244	167	77	
ENSMUSG00000022426.5	990	529	1078	536	839	605	1240	505	833	683	856	644	747	742	679	
ENSMUSG00000022427.3	2991	1569	2971	3533	2614	2260	3462	2131	3845	2038	2922	1785	2028	1633	2320	
ENSMUSG00000022428.7	437	301	481	431	305	163	418	260	443	359	430	294	323	311	333	
ENSMUSG00000022429.10	1	0	3	1	6	5	2	1	5	1	1	2	1	0	3	
ENSMUSG00000022431.2	1	0	1	1	0	0	0	0	0	4	0	0	3	0	1	
ENSMUSG00000022432.6	0	0	5	0	1	1	1	0	2	1	1	0	2	0	0	
ENSMUSG00000022433.18	733	355	858	383	583	259	466	255	614	1865	1977	1053	1610	1121	1999	
ENSMUSG00000022434.7	271	182	391	112	201	131	134	136	214	293	457	198	310	267	411	
ENSMUSG00000022435.5	1	0	0	1	0	2	0	3	3	54	42	44	54	37	81	
ENSMUSG00000022436.15	267	111	326	308	277	139	215	140	301	489	534	286	458	695	431	
ENSMUSG00000022437.6	4431	2193	4660	4326	3437	2726	5110	2317	4438	2471	3753	2306	2557	2039	2569	
ENSMUSG00000022438.6	155	69	235	212	155	48	81	36	66	74	124	83	82	73	86	
ENSMUSG00000022439.9	20	20	30	223	47	16	105	29	228	71	118	86	80	32	69	
ENSMUSG00000022440.8	918	414	888	639	829	461	1118	512	939	867	1601	770	1071	443	1115	
ENSMUSG00000022441.17	1	0	4	0	0	0	0	0	0	4	0	0	0	1	0	
ENSMUSG00000022442.15	225	101	309	102	220	50	171	67	139	185	200	136	189	157	186	
ENSMUSG00000022443.16	10680	5477	11410	10840	16155	5375	11155	5741	9510	13615	16913	10112	13439	13472	13713	
ENSMUSG00000022445.6	374	164	506	50	190	2301	551	276	378	42	69	105	62	47	89	
ENSMUSG00000022449.14	4	3	17	2	7	0	8	1	8	3	2	4	7	5	2	
ENSMUSG00000022450.5	8802	5219	9702	5467	7653	4547	9585	6056	9813	2476	3917	2960	2838	2296	2872	
ENSMUSG00000022451.12	2697	1323	2650	2366	2970	2114	3033	1675	2407	2030	2720	1819	2204	2167	2299	
ENSMUSG00000022452.14	3227	2022	3420	4854	5007	3309	4539	2807	4960	2138	3117	1975	2227	1860	2364	
ENSMUSG00000022453.7	3100	1430	3317	3590	6097	2328	4467	2430	3381	1508	2096	1709	1886	1300	1927	
ENSMUSG00000022454.16	63	52	146	146	65	17	35	18	27	10	6	24	10	4	6	
ENSMUSG00000022455.3	4	0	12	5	4	4	12	7	17	11	11	5	4	3	16	
ENSMUSG00000022456.15	20	28	85	60	64	11	28	13	31	25	41	20	30	27	56	
ENSMUSG00000022462.6	2637	1545	4257	1876	3428	2083	3273	1736	2864	4416	4894	3654	4101	3635	3985	
ENSMUSG00000022463.7	3877	1821	4404	4105	5805	3316	5000	2481	4285	6890	8617	4253	6026	5647	6584	
ENSMUSG00000022464.13	30	12	27	8	5	4	4	4	26	201	1011	173	225	90	462	
ENSMUSG00000022466.5	321	183	377	342	239	163	301	129	328	337	441	219	320	229	383	
ENSMUSG00000022468.11	77	6	40	8	30	2	18	13	30	4	7	9	27	36	11	
ENSMUSG00000022469.16	168	97	329	171	333	141	340	266	352	139	292	177	237	129	182	
ENSMUSG00000022471.13	623	321	889	598	396	324	806	343	734	493	887	421	626	504	534	
ENSMUSG00000022472.16	833	409	971	871	900	530	892	469	845	870	1122	601	955	903	901	
ENSMUSG00000022474.14	1072	567	1512	756	594	992	920	445	803	697	991	472	704	681	773	
ENSMUSG00000022475.18	505	269	818	581	383	198	389	233	537	881	812	484	756	674	876	
ENSMUSG00000022476.7	234	108	350	322	150	137	309	141	323	221	447	256	220	213	277	
ENSMUSG00000022477.12	10873	4997	10851	8416	14720	8214	14527	6154	10141	5476	7597	5512	6382	4667	5598	
ENSMUSG00000022479.15	9159	4115	7835	2109	7007	4536	7249	3001	3818	770	1811	2357	1191	1109	1137	
ENSMUSG00000022483.16	0	0	0	0	1	0	0	0	1	1	4	1	1	5	9	
ENSMUSG00000022484.7	22	3	10	0	0	6	0	0	2	1	1	1	2	0	0	
ENSMUSG00000022485.3	2	0	8	16	6	3	3	0	2	0	0	0	2	3	0	
ENSMUSG00000022487.14	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	
ENSMUSG00000022488.8	150	106	193	383	274	50	280	123	429	237	403	312	390	234	254	
ENSMUSG00000022489.5	309	208	665	302	228	75	185	140	292	141	114	129	120	172	106	
ENSMUSG00000022490.6	98	77	173	38	32	8	42	7	31	13	5	19	9	11	3	
ENSMUSG00000022491.4	14	33	11	375	8	1	83	15	314	28	8	49	52	33	8	
ENSMUSG00000022494.13	5	2	2	0	0	0	2	1	2	0	0	1	0	0	0	
ENSMUSG00000022496.5	14	2	16	0	5	4	33	13	45	2	7	21	15	3	6	
ENSMUSG00000022498.16	752	298	924	861	1023	530	1212	623	1111	865	1087	824	929	781	860	
ENSMUSG00000022500.14	4030	2060	2985	6554	8381	2234	5235	3215	4711	4621	5734	3356	4662	3989	5373	
ENSMUSG00000022501.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022503.10	385	190	448	442	353	234	456	239	485	554	635	363	449	399	534	
ENSMUSG00000022504.9	44	41	57	202	137	47	175	77	317	194	223	101	168	48	44	
ENSMUSG00000022505.8	1786	752	2306	518	605	453	1806	708	1248	3136	2467	1505	2222	2817	2236	
ENSMUSG00000022507.5	1208	779	1500	1041	1604	618	1499	830	1257	977	1154	924	1050	751	985	
ENSMUSG00000022508.5	392	162	411	295	485	113	319	159	334	544	453	326	508	520	391	
ENSMUSG00000022510.14	299	9	3	7	106	6	221	47	8	638	7	291	476	1721	60	
ENSMUSG00000022512.2	209	52	102	32	65	8	43	21	34	268	19	131	135	554	15	
ENSMUSG00000022514.14	203	93	224	119	119	83	124	82	95	93	131	121	90	131	86	
ENSMUSG00000022515.5	653	252	813	455	552	337	560	430	613	499	497	380	434	376	457	
ENSMUSG00000022516.9	668	320	898	629	324	431	656	388	773	516	710	378	538	381	533	
ENSMUSG00000022517.16	2812	1358	2935	1646	2517	1248	2438	1069	1802	1650	1944	1463	1736	1385	1847	
ENSMUSG00000022518.15	12	6	23	2	8	3	1	4	2	9	7	7	7	10	5	
ENSMUSG00000022519.13	403	80	213	27	34	40	51	14	43	107	84	63	95	65	75	
ENSMUSG00000022521.10	622	331	1002	674	453	410	608	506	650	752	962	586	640	643	758	
ENSMUSG00000022523.9	14	9	31	2	9	34	5	10	7	2	1	0	5	0	0	
ENSMUSG00000022525.13	64	43	127	5	16	4	13	12	9	11	7	8	14	14	5	
ENSMUSG00000022526.7	272	146	333	127	255	77	243	75	158	142	230	191	144	155	169	
ENSMUSG00000022528.7	2154	903	2416	1359	1580	1451	2501	1382	2641	1821	1845	1676	1592	1938	1951	
ENSMUSG00000022529.11	653	335	858	303	497	223	602	321	557	606	586	510	459	427	479	
ENSMUSG00000022533.13	2556	1447	2501	1321	2162	988	2666	1393	2361	2524	2393	2554	2239	1607	2214	
ENSMUSG00000022534.13	8	4	17	85	34	5	17	20	29	21	63	18	62	35	31	
ENSMUSG00000022536.13	2757	1413	2685	2336	3039	1874	3477	1639	2902	2850	3549	2589	2934	2296	2795	
ENSMUSG00000022537.17	98	28	161	23	23	83	50	37	51	124	90	79	72	69	108	
ENSMUSG00000022538.19	658	314	693	478	441	257	672	263	604	778	1004	579	833	706	835	
ENSMUSG00000022540.16	379	229	748	567	451	195	473	230	532	346	380	273	367	225	431	
ENSMUSG00000022542.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022543.8	11	4	22	4	4	1	10	3	11	7	15	10	9	7	10	
ENSMUSG00000022544.13	388	207	449	344	257	204	400	202	362	324	350	204	223	258	313	
ENSMUSG00000022545.13	315	153	522	278	274	135	305	192	299	347	372	289	336	256	338	
ENSMUSG00000022546.4	570	284	651	435	901	2256	1015	537	517	186	230	192	136	217	135	
ENSMUSG00000022548.14	202	124	406	387	102	76	46	23	33	94	128	83	108	89	152	
ENSMUSG00000022550.17	1981	977	2225	1181	1701	1706	1699	1110	1306	747	922	715	890	601	853	
ENSMUSG00000022551.7	8987	5123	9719	8586	9108	7137	12620	6657	10784	4338	6279	3742	4525	3728	4418	
ENSMUSG00000022552.15	1226	516	1427	1114	1191	748	1107	723	1050	996	948	694	943	797	1041	
ENSMUSG00000022553.15	2490	1174	3138	1783	1532	1296	2210	1123	2125	1232	1662	1233	1353	1223	1488	
ENSMUSG00000022554.6	224	84	317	265	139	141	273	149	239	203	262	213	241	206	228	
ENSMUSG00000022555.11	1138	479	1137	1634	980	693	1313	708	966	806	1046	539	878	847	773	
ENSMUSG00000022556.9	626	254	1003	756	478	443	748	413	773	678	878	519	695	688	708	
ENSMUSG00000022557.10	865	415	1044	1229	985	594	1411	614	1182	1142	1612	879	1286	1054	1140	
ENSMUSG00000022558.15	1071	481	1309	857	1120	822	1072	621	874	924	1270	778	948	750	1097	
ENSMUSG00000022559.7	700	364	1136	723	475	529	722	578	780	765	788	475	690	658	675	
ENSMUSG00000022560.8	443	287	484	540	568	672	585	321	419	317	387	233	284	275	366	
ENSMUSG00000022561.12	1031	422	1282	1712	1174	902	1300	899	1374	1315	1741	863	1160	1207	1369	
ENSMUSG00000022562.14	659	414	840	366	595	443	971	403	604	482	602	427	488	285	479	
ENSMUSG00000022564.6	1698	757	2908	2513	2241	1630	1742	1217	1489	1734	2317	1196	1782	1817	2065	
ENSMUSG00000022565.15	6920	4560	8984	7348	11752	4271	5833	4476	5658	7301	7247	6213	6751	9063	6674	
ENSMUSG00000022568.16	2097	1040	2430	1721	1752	1162	2299	1133	1967	2358	2605	1742	2192	2176	2084	
ENSMUSG00000022570.5	3052	1497	3070	2537	2786	2338	4477	2432	3959	1673	2413	1743	1871	1452	2011	
ENSMUSG00000022571.8	1805	910	2184	1221	1606	1114	2038	1347	2060	534	868	580	686	500	619	
ENSMUSG00000022574.6	2048	1032	2243	1612	2208	1952	2282	1514	2026	477	692	639	593	606	702	
ENSMUSG00000022575.4	5433	2842	4754	10238	13721	3149	7036	4651	6636	4576	5625	3631	4242	2732	4096	
ENSMUSG00000022577.16	17	13	51	60	5	27	8	14	8	11	7	3	12	3	3	
ENSMUSG00000022579.10	41	31	116	33	18	10	61	20	56	30	55	35	61	34	39	
ENSMUSG00000022580.12	1	6	13	5	4	12	1	4	4	9	7	2	10	8	5	
ENSMUSG00000022582.4	6602	4047	3911	23597	30125	883	10511	7659	12063	2779	2889	4394	2031	1715	2211	
ENSMUSG00000022583.12	2	0	0	5	3	2	1	2	11	2	1	1	1	1	1	
ENSMUSG00000022584.14	41	17	117	86	127	20	155	84	512	40	147	134	73	56	40	
ENSMUSG00000022586.11	4	2	3	11	26	2	4	4	17	5	18	6	1	4	3	
ENSMUSG00000022587.14	6596	2800	8513	15888	14235	3812	15263	8926	17701	25677	40888	16254	26299	19733	32472	
ENSMUSG00000022589.7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022591.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000022594.14	607	444	940	428	555	182	461	194	351	408	192	311	268	521	174	
ENSMUSG00000022595.7	22	1	1	1	2	0	36	1	0	32	1	17	21	136	2	
ENSMUSG00000022596.3	130	0	3	1	14	1	29	17	9	4	4	3	33	103	10	
ENSMUSG00000022598.6	2206	20	9	50	18	22	351	50	27	2361	91	1054	981	8547	508	
ENSMUSG00000022601.11	316	197	393	167	288	128	345	155	307	264	256	239	236	199	191	
ENSMUSG00000022602.14	56	21	22	102	338	4	22	16	40	96	23	83	200	1020	51	
ENSMUSG00000022603.9	5	1	0	0	3	0	3	0	0	5	0	2	2	13	5	
ENSMUSG00000022604.18	76	45	132	106	58	41	79	26	85	217	208	141	163	117	197	
ENSMUSG00000022607.14	888	518	1055	995	1368	721	1289	621	1035	1391	1484	1059	1316	1086	1206	
ENSMUSG00000022610.9	107	62	145	87	47	16	67	43	80	61	21	43	29	54	20	
ENSMUSG00000022613.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000022614.7	619	346	946	835	514	313	620	322	654	994	1101	544	783	1019	858	
ENSMUSG00000022615.7	52	37	62	30	32	38	38	21	23	27	29	30	32	10	33	
ENSMUSG00000022617.14	2449	871	2832	1179	1583	1135	1875	1403	2002	1033	1143	847	831	859	1005	
ENSMUSG00000022619.5	69	82	288	274	174	71	49	32	49	20	2	28	15	18	4	
ENSMUSG00000022620.14	484	179	623	407	390	313	473	274	445	132	214	192	216	197	143	
ENSMUSG00000022621.16	176	86	225	118	135	85	146	83	200	202	248	146	180	243	197	
ENSMUSG00000022622.4	1	1	1	2	3	0	1	0	1	1	0	0	2	1	0	
ENSMUSG00000022623.15	146	90	277	138	102	65	78	56	110	102	74	110	110	118	44	
ENSMUSG00000022629.16	1006	574	1071	668	1225	408	1219	496	840	894	864	705	664	1108	589	
ENSMUSG00000022634.9	407	245	466	322	412	223	352	203	341	396	466	361	376	310	345	
ENSMUSG00000022635.9	1283	760	1394	1454	1304	854	1415	973	1759	1062	1389	867	917	722	1005	
ENSMUSG00000022636.13	1231	581	1185	874	1403	286	1288	596	1216	1431	1041	1371	1191	1019	1089	
ENSMUSG00000022637.10	355	126	412	204	323	168	382	214	389	441	612	334	510	307	476	
ENSMUSG00000022639.14	100	40	199	119	118	22	68	61	117	68	75	79	79	87	52	
ENSMUSG00000022641.15	293	182	459	270	343	151	209	152	253	224	313	248	249	257	226	
ENSMUSG00000022650.6	6	13	37	1753	2282	5021	71	213	105	87	187	142	129	128	222	
ENSMUSG00000022651.5	0	3	4	1968	18	2	21	8	7	53	110	18	231	660	136	
ENSMUSG00000022652.6	4	0	2	4	1	2	2	0	6	19	20	6	11	8	10	
ENSMUSG00000022656.15	2112	1326	2086	897	1438	1386	2524	1250	2184	1300	1555	1433	1208	708	1177	
ENSMUSG00000022657.9	7	4	8	16	8	12	19	12	28	12	12	15	4	6	3	
ENSMUSG00000022658.10	67	56	126	149	63	49	42	46	65	21	10	21	16	17	18	
ENSMUSG00000022659.13	6	5	7	11	7	0	4	5	20	1	4	11	2	2	2	
ENSMUSG00000022661.14	576	348	976	592	456	173	337	196	385	193	322	307	298	306	268	
ENSMUSG00000022663.3	1416	712	1243	879	1355	616	1449	691	1379	969	1044	1049	861	796	832	
ENSMUSG00000022664.11	398	272	475	259	301	296	363	245	385	301	403	340	376	249	384	
ENSMUSG00000022665.14	930	389	1189	638	464	69	389	193	496	603	867	586	553	290	541	
ENSMUSG00000022667.17	7	12	9	12	13	11	5	1	10	24	28	20	3	9	16	
ENSMUSG00000022668.10	528	244	632	298	351	351	498	220	519	338	399	382	345	253	364	
ENSMUSG00000022671.12	544	270	686	570	387	259	593	246	493	272	447	259	247	224	350	
ENSMUSG00000022672.8	272	149	411	221	199	121	369	177	342	365	345	297	305	327	313	
ENSMUSG00000022673.4	347	248	472	1010	426	375	687	298	754	1006	1734	695	1160	940	1019	
ENSMUSG00000022674.14	622	471	789	650	622	392	746	443	890	637	870	566	545	487	646	
ENSMUSG00000022676.6	47	38	56	63	70	14	65	59	61	86	74	101	56	121	39	
ENSMUSG00000022677.14	1214	654	1075	1028	1116	517	1266	759	1341	643	901	666	592	487	718	
ENSMUSG00000022678.16	603	270	650	709	363	289	601	351	668	1049	1244	588	1045	819	1030	
ENSMUSG00000022679.13	110	54	145	97	110	69	96	62	125	41	67	60	56	25	57	
ENSMUSG00000022680.13	8139	3680	7829	3423	9928	2674	10460	3864	7021	2651	4270	4511	4067	2481	3028	
ENSMUSG00000022681.14	659	383	747	414	517	333	674	426	650	591	680	423	506	467	643	
ENSMUSG00000022682.7	653	318	878	667	669	342	713	331	647	986	1486	628	1016	849	945	
ENSMUSG00000022683.13	2079	1114	2053	1625	3652	1152	3010	1636	2660	623	1259	1089	879	646	1025	
ENSMUSG00000022684.14	1572	836	1857	858	1603	795	1724	983	1467	657	884	692	615	527	611	
ENSMUSG00000022685.8	592	342	809	543	386	271	712	365	521	650	803	494	605	511	685	
ENSMUSG00000022686.14	1803	949	2331	1572	2798	98	2458	1194	2677	1295	1846	1543	1657	873	1636	
ENSMUSG00000022687.12	363	235	659	141	194	348	225	171	220	154	115	120	190	250	139	
ENSMUSG00000022696.17	236	110	338	504	585	444	800	494	773	1351	1844	893	1639	803	1861	
ENSMUSG00000022698.17	1824	1251	2023	2224	1464	1039	2210	1000	2142	2256	2956	1706	1965	1927	2358	
ENSMUSG00000022701.17	120	59	236	103	86	61	113	92	128	137	190	114	111	97	164	
ENSMUSG00000022702.15	268	135	317	306	152	168	281	148	281	303	471	226	294	296	331	
ENSMUSG00000022704.15	234	109	305	164	187	86	268	160	254	281	413	257	324	233	315	
ENSMUSG00000022705.4	0	0	1	3	11	8	3	1	4	0	1	6	0	0	3	
ENSMUSG00000022706.15	880	490	998	1088	723	613	1130	680	1123	644	947	570	708	502	683	
ENSMUSG00000022707.16	689	408	645	153	314	250	356	147	331	229	250	255	256	180	210	
ENSMUSG00000022708.16	524	297	1020	362	311	116	269	182	236	278	332	272	297	234	299	
