gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000000339.14	489	280	613	323	530	457	584	288	461	332	515	266	350	287	309	
ENSMUSG00000000340.10	521	252	589	306	326	226	585	196	413	283	468	296	334	216	310	
ENSMUSG00000000346.8	9991	5271	9183	7916	8076	5904	10400	5378	9139	6679	8406	6205	6258	5654	7539	
ENSMUSG00000000355.13	761	317	882	595	577	441	633	473	863	512	580	415	439	358	496	
ENSMUSG00000000359.3	94	33	132	39	42	20	32	24	46	13	28	25	15	12	15	
ENSMUSG00000000365.8	2	4	1	2	1	0	1	0	0	0	1	0	0	0	0	
ENSMUSG00000000374.7	2154	1016	2137	1731	2989	944	2428	1188	1794	1497	1599	1448	1698	1358	1387	
ENSMUSG00000000378.15	707	412	1100	875	798	398	917	460	1001	777	1176	594	783	609	832	
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000384.15	1921	750	2248	1804	1719	1417	2272	1148	1775	1412	1853	1020	1531	1253	1354	
ENSMUSG00000000385.7	17806	8404	14999	13382	29272	2908	20581	11568	16226	7569	10390	9569	9207	5341	7603	
ENSMUSG00000000386.14	28	12	29	77	227	55	71	119	168	65	130	51	65	58	47	
ENSMUSG00000000392.17	134	33	127	38	61	23	30	30	53	8	14	25	12	12	13	
ENSMUSG00000000394.15	513	255	970	3105	3707	1012	1130	633	856	13	123	104	62	58	60	
ENSMUSG00000000399.10	3345	1502	3263	2516	2945	2172	4279	1941	3686	1333	2220	1517	1578	1323	1460	
ENSMUSG00000000402.2	41	1	2	2	14	0	7	2	1	12	7	9	37	18	8	
ENSMUSG00000000409.14	45	47	59	185	58	75	158	88	283	154	210	97	172	76	169	
ENSMUSG00000000411.7	2	0	0	0	0	0	2	2	0	1	3	1	0	0	3	
ENSMUSG00000000416.16	460	197	622	56	119	50	371	218	323	153	126	141	121	85	118	
ENSMUSG00000000420.15	1586	931	1752	1810	2432	1378	2423	1343	2348	2786	3578	2177	2503	2300	3106	
ENSMUSG00000000435.1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000439.9	504	195	517	248	421	145	462	218	355	345	399	360	346	258	348	
ENSMUSG00000000440.12	877	376	980	553	1105	2065	1370	859	1385	550	608	636	524	354	550	
ENSMUSG00000000441.17	967	540	971	446	1026	390	1202	452	830	1057	957	955	1055	779	901	
ENSMUSG00000000486.13	127	73	183	551	108	55	296	146	546	239	366	212	282	139	178	
ENSMUSG00000000489.6	155	88	244	220	208	102	126	85	172	407	470	152	268	429	532	
ENSMUSG00000000530.16	518	278	680	417	585	188	344	203	354	177	273	324	244	276	185	
ENSMUSG00000000531.4	119	87	263	154	97	103	87	69	164	254	365	173	271	285	237	
ENSMUSG00000000532.10	2612	1190	2593	1505	3252	2104	2460	1431	1692	1458	1587	1584	1571	1420	1283	
ENSMUSG00000000538.18	2772	1297	2975	1649	2594	1365	1836	1030	1430	913	902	915	913	1052	851	
ENSMUSG00000000544.14	17356	9292	14639	15220	25761	12435	23204	12434	17238	11942	14000	12424	12174	7651	11298	
ENSMUSG00000000552.9	291	111	307	132	153	55	155	62	118	266	167	195	232	279	202	
ENSMUSG00000000555.7	3423	2429	6025	1293	3439	442	1947	923	1258	1542	1075	1866	1874	2531	889	
ENSMUSG00000000560.9	6	5	4	6	8	2	5	7	6	1	9	2	2	1	2	
ENSMUSG00000000561.14	570	320	842	648	278	321	672	352	633	546	816	394	542	504	637	
ENSMUSG00000000562.5	5	1	4	2	8	7	1	5	3	6	17	6	10	3	3	
ENSMUSG00000000563.17	9898	5731	9718	8955	10316	7570	13514	7994	13507	4569	6904	4720	4591	3761	4873	
ENSMUSG00000000567.5	856	495	1385	357	611	522	752	511	1033	1636	3683	1405	1954	1262	2431	
ENSMUSG00000000568.15	4017	2194	4357	2869	2710	1465	3476	1739	3177	3172	4652	2528	2676	2444	2853	
ENSMUSG00000000579.14	334	118	371	243	227	183	258	155	313	261	303	134	280	191	212	
ENSMUSG00000000581.8	1267	697	1168	1177	1044	809	1432	737	1494	846	1064	818	641	657	903	
ENSMUSG00000000594.7	1039	593	1562	779	751	272	1166	453	1141	956	1641	1061	1011	678	1097	
ENSMUSG00000000600.15	702	307	836	517	709	327	653	460	759	753	662	646	629	449	550	
ENSMUSG00000000605.9	2266	1000	2348	1237	1892	1199	2370	1379	2178	1819	1961	1706	1699	1262	1814	
ENSMUSG00000000606.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000617.14	0	0	1	9	0	0	5	1	18	3	3	1	6	1	1	
ENSMUSG00000000627.15	18	9	39	25	16	8	16	1	13	15	10	9	8	5	23	
ENSMUSG00000000628.10	2349	1171	2622	9825	12791	2947	3798	2631	4712	6055	6095	6121	6338	3775	4468	
ENSMUSG00000000631.20	4425	2246	4168	4146	7316	4171	4973	2838	3785	3664	4325	3152	3612	2800	3167	
ENSMUSG00000000632.13	40	13	70	77	46	26	22	15	16	4	1	3	2	3	1	
ENSMUSG00000000673.8	16	9	13	100	12	8	34	11	108	25	6	12	21	4	0	
ENSMUSG00000000682.7	280	199	356	1578	469	191	1021	499	2211	424	792	503	548	320	352	
ENSMUSG00000000686.11	5	1	12	1	11	2	5	1	6	6	7	8	0	3	12	
ENSMUSG00000000690.5	98	75	222	67	60	1289	85	40	34	76	15	100	83	103	132	
ENSMUSG00000000693.10	106	44	166	55	98	39	60	21	80	43	62	60	80	39	36	
ENSMUSG00000000701.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000706.15	1	0	4	28	15	19	11	16	5	1	3	0	1	1	3	
ENSMUSG00000000708.14	1339	889	1328	738	1142	587	1004	600	965	793	826	745	735	620	634	
ENSMUSG00000000711.2	2430	1268	2886	1591	2326	1171	2155	1029	1652	1884	2063	1750	1855	1491	1915	
ENSMUSG00000000724.10	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000730.13	9	7	17	6	6	4	7	7	6	7	22	7	10	13	22	
ENSMUSG00000000731.15	3	1	9	2	8	5	3	12	7	14	5	9	7	8	2	
ENSMUSG00000000732.8	471	263	579	666	768	128	498	242	613	288	373	394	319	258	240	
ENSMUSG00000000738.18	2406	1105	2697	1735	2088	1500	2912	1533	2682	1719	2511	1475	1926	1371	2098	
ENSMUSG00000000739.14	32	3	37	29	11	5	3	4	16	7	5	2	9	0	1	
ENSMUSG00000000740.12	20719	10604	27041	19956	11161	9805	22882	12883	24972	10640	16103	9877	11357	13015	12951	
ENSMUSG00000000743.9	6419	3308	6812	4988	5330	4528	7308	3871	5683	3577	4244	3363	3361	3275	3932	
ENSMUSG00000000751.13	1045	616	1372	1624	911	599	1195	482	1327	1596	2111	1127	1700	1177	1613	
ENSMUSG00000000753.15	652	232	690	265	88	30	81	51	144	79	119	102	106	74	81	
ENSMUSG00000000759.14	889	488	1380	572	611	297	896	575	868	1007	919	695	809	812	816	
