10252_at, SPRY1
10253_at, SPRY2
10254_at, STAM2
10255_at, HCG9
10256_at, CNKSR1
10257_at, ABCC4
1025_at, CDK9
10260_at, DENND4A
10261_at, IGSF6
10262_at, SF3B4
10263_at, CDK2AP2
10265_at, IRX5
10266_at, RAMP2
10267_at, RAMP1
10268_at, RAMP3
10269_at, ZMPSTE24
1026_at, CDKN1A
10270_at, AKAP8
10272_at, FSTL3
10273_at, STUB1
10274_at, STAG1
10276_at, NET1
10277_at, UBE4B
10278_at, EFS
10279_at, PRSS16
1027_at, CDKN1B
10280_at, SIGMAR1
10281_at, DSCR4
10282_at, BET1
10284_at, SAP18
10285_at, SMNDC1
10286_at, BCAS2
10287_at, RGS19
10288_at, LILRB2
10289_at, EIF1B
1028_at, CDKN1C
10290_at, SPEG
10291_at, SF3A1
10293_at, TRAIP
10294_at, DNAJA2
10295_at, BCKDK
10296_at, MAEA
10297_at, APC2
10298_at, PAK4
10299_at, MARCH6
1029_at, CDKN2A
102_at, ADAM10
10300_at, KATNB1
10301_at, DLEU1
10302_at, SNAPC5
10307_at, APBB3
10308_at, ZNF267
10309_at, CCNO
1030_at, CDKN2B
10311_at, DSCR3
10312_at, TCIRG1
10313_at, RTN3
10314_at, LANCL1
10316_at, NMUR1
10317_at, B3GALT5
10318_at, TNIP1
10319_at, LAMC3
1031_at, CDKN2C
10320_at, IKZF1
10321_at, CRISP3
10322_at, SMYD5
10324_at, KLHL41
10325_at, RRAGB
10327_at, AKR1A1
10328_at, EMC8
10329_at, TMEM5
1032_at, CDKN2D
10330_at, CNPY2
10331_at, B3GNT3
10332_at, CLEC4M
10333_at, TLR6
10336_at, PCGF3
1033_at, CDKN3
10342_at, TFG
10343_at, PKDREJ
10346_at, TRIM22
10347_at, ABCA7
10351_at, ABCA8
10352_at, WARS2
10360_at, NPM3
10362_at, HMG20B
10363_at, HMG20A
10365_at, KLF2
10367_at, MICU1
10368_at, CACNG3
10369_at, CACNG2
1036_at, CDO1
10370_at, CITED2
10371_at, SEMA3A
10376_at, TUBA1B
10379_at, IRF9
10381_at, TUBB3
10382_at, TUBB4A
10383_at, TUBB4B
10384_at, BTN3A3
10385_at, BTN2A2
10388_at, SYCP2
10389_at, SCML2
1038_at, CDR1
10390_at, CEPT1
103910_at, MYL12B
10391_at, CORO2B
10392_at, NOD1
10393_at, ANAPC10
10394_at, PRG3
10395_at, DLC1
10396_at, ATP8A1
10397_at, NDRG1
10398_at, MYL9
10399_at, GNB2L1
1039_at, CDR2
103_at, ADAR
10400_at, PEMT
10401_at, PIAS3
10402_at, ST3GAL6
10403_at, NDC80
10404_at, CPQ
10406_at, WFDC2
10407_at, SPAG11B
10408_at, MYCNOS
10409_at, BASP1
1040_at, CDS1
10411_at, RAPGEF3
10413_at, YAP1
10417_at, SPON2
10418_at, SPON1
10419_at, PRMT5
1041_at, CDSN
10420_at, TESK2
10421_at, CD2BP2
10422_at, UBAC1
10423_at, CDIPT
10424_at, PGRMC2
10425_at, ARIH2
10426_at, TUBGCP3
10427_at, SEC24B
10428_at, CFDP1
10430_at, TMEM147
10432_at, RBM14
10434_at, LYPLA1
10435_at, CDC42EP2
10436_at, EMG1
10437_at, IFI30
10438_at, C1D
10439_at, OLFM1
1043_at, CD52
10440_at, TIMM17A
10443_at, N4BP2L2
10444_at, ZER1
10445_at, MCRS1
10446_at, LRRN2
10449_at, ACAA2
1044_at, CDX1
10450_at, PPIE
10451_at, VAV3
10454_at, TAB1
10455_at, ECI2
10456_at, HAX1
10457_at, GPNMB
10458_at, BAIAP2
1045_at, CDX2
10460_at, TACC3
10461_at, MERTK
10462_at, CLEC10A
10463_at, SLC30A9
10464_at, PIBF1
10465_at, PPIH
10466_at, COG5
10467_at, ZNHIT1
10468_at, FST
10469_at, TIMM44
1046_at, CDX4
10471_at, PFDN6
10472_at, ZBTB18
10473_at, HMGN4
10474_at, TADA3
10475_at, TRIM38
10478_at, SLC25A17
10479_at, SLC9A6
1047_at, CLGN
10480_at, EIF3M
10481_at, HOXB13
10482_at, NXF1
10483_at, SEC23B
10484_at, SEC23A
10485_at, C1orf61
10486_at, CAP2
10487_at, CAP1
10488_at, CREB3
10489_at, LRRC41
1048_at, CEACAM5
10490_at, VTI1B
10491_at, CRTAP
10492_at, SYNCRIP
10493_at, VAT1
10494_at, STK25
10495_at, ENOX2
10497_at, UNC13B
10498_at, CARM1
10499_at, NCOA2
104_at, ADARB1
10500_at, SEMA6C
10501_at, SEMA6B
10505_at, SEMA4F
10507_at, SEMA4D
1050_at, CEBPA
10512_at, SEMA3C
10513_at, APPBP2
10514_at, MYBBP1A
10516_at, FBLN5
10518_at, CIB2
10519_at, CIB1
1051_at, CEBPB
10520_at, ZNF211
10521_at, DDX17
10522_at, DEAF1
10523_at, CHERP
10524_at, KAT5
10525_at, HYOU1
10526_at, IPO8
10527_at, IPO7
10528_at, NOP56
10529_at, NEBL
1052_at, CEBPD
10531_at, PITRM1
10533_at, ATG7
10534_at, SSSCA1
10535_at, RNASEH2A
10536_at, LEPREL2
10537_at, UBD
10538_at, BATF
10539_at, GLRX3
1053_at, CEBPE
10540_at, DCTN2
10541_at, ANP32B
10542_at, LAMTOR5
10544_at, PROCR
10548_at, TM9SF1
10549_at, PRDX4
1054_at, CEBPG
10550_at, ARL6IP5
10551_at, AGR2
10552_at, ARPC1A
10553_at, HTATIP2
10554_at, AGPAT1
10555_at, AGPAT2
10556_at, RPP30
10557_at, RPP38
10558_at, SPTLC1
10559_at, SLC35A1
10560_at, SLC19A2
10561_at, IFI44
10562_at, OLFM4
10563_at, CXCL13
10564_at, ARFGEF2
10565_at, ARFGEF1
10566_at, AKAP3
10567_at, RABAC1
10568_at, SLC34A2
1056_at, CEL
10570_at, DPYSL4
10572_at, SIVA1
10573_at, MRPL28
10574_at, CCT7
10575_at, CCT4
10576_at, CCT2
10577_at, NPC2
10578_at, GNLY
10579_at, TACC2
10580_at, SORBS1
10581_at, IFITM2
10584_at, COLEC10
10585_at, POMT1
10586_at, MAB21L2
10587_at, TXNRD2
10589_at, DRAP1
1058_at, CENPA
10590_at, SCGN
10591_at, DNPH1
10592_at, SMC2
10594_at, PRPF8
10595_at, ERN2
